도서관명,주소,전화번호,팩스번호,위도,경도,홈페이지,휴관일,도서관코드,운영시간,도서수
2.28도서관,대구광역시 중구 2·28길 9,053-257-2280,053-257-2284,35.8592504,128.5894055,http://www.228lib.or.kr/,"매주 월요일 / 법정공휴일(일요일을 제외한 관공서 공휴일), 도서관 및 기타 사정으로 위탁기관장이 정하는 날",127058,"화~금 09:00~20:00, 토일 09:00~17:00",46408
U보라작은도서관,"경상남도 김해시 전하로176번길 71, 반도보라아파트 주민공동시설 2층",055-324-3335,-,35.223558,128.874226,http://lib.gimhae.go.kr/03city/07_14_01.asp,"매주 일요일 / 법정공휴일, 임시공휴일",148096,-,6431
가락몰도서관,서울 송파구 양재대로 932,02-3435-0950,02-3435-0959,37.492994,127.1101373,http://www.splib.or.kr/spalib/,"매주 월요일 / 법정공휴일, 기타 도서관 사정에 의해 관장이 정한 날",111456,09:00 ~ 18:00,20920
가수원도서관,대전광역시 서구 가수원로 91-11,042-288-4770,042-288-5937,36.3019,127.348812,http://www.seogu.go.kr/learning/gasuwonlib/index.do,"매주 월요일 / 국경일, 정부에서 정한 공휴일, 도서관 사정으로 인한 휴관하는 날",125010,"(하계) 07:00~22:00, (동계) 08:00~22:00",147405
가양도서관,대전광역시 동구 우암로277번길 72,042-259-7081,042-628-8168,36.3489771,127.4451507,http://lib.donggu.go.kr/html/library/gayanglib/,"매주 월요일 / 국경일, 기타 원장이 필요하다고 인정되는 경우",125012,"평일 08:00 ~ 22:00, 주말 08:00 ~ 18:00",128540
가오도서관,대전광역시 동구 동구청로 147,042-259-7051,042-224-6171,36.3124314,127.4553237,http://lib.donggu.go.kr/html/library/gaolib/,"매주 월요일 / 국경일, 기타 원장이 필요하다고 인정되는 경우",125008,08:00~22:00,120304
가온누리작은도서관,"울산광역시 북구 신천소공원로 15, 108동 1층",052-292-2774,-,35.6454614,129.346506,https://usbl.bukgu.ulsan.kr/,"매주 토요일, 일요일 / 법정공휴일",131059,-,8943
가창면 참꽃 작은도서관,대구광역시 달성군 가창면 가창로220길 8,053-760-7731,-,35.8023213,128.623414,http://www.dalseong.daegu.kr/new/culture/html/page.html?mc=1924,-,127065,-,14220
갈마도서관,대전광역시 서구 신갈마로127번길 138,042-288-4740,042-288-5936,36.3409156,127.3656805,http://www.seogu.go.kr/learning/galmalib/index.do,"매주 월요일 / 국경일, 정부에서 정한 공휴일, 도서관 사정으로 인한 휴관하는 날",125004,동절기:08:00~22:00 하절기:07:00~22:00,231623
갈현1동문화의집,서울특별시 은평구 갈현로 301,02-351-5108,-,37.2374844,127.2858167,http://lib.eplib.or.kr/,"매주 일요일 / 법정공휴일, 기타 도서관 사정에 의한 임시 휴관일",711308,-,5339
강남구립논현도서관,서울특별시 강남구 학동로43길 17,02-3443-7650,02-542-6459,37.5173333,127.0372,http://nhlib.gangnam.go.kr/,"매월 둘째주, 넷째주 화요일 / 일요일을 제외한 법정공휴일",111070,"자료실:(평일 9:00~22:00, 주말 9:00~17:00)열람실 6:00~22:00",57139
강남구립대치도서관,"서울특별시 강남구 삼성로 212, 은마아파트 복지상가 2층 215호",02-565-6666,02-554-6666,37.4953832,127.063706,http://dchlib.gangnam.go.kr/,"매월 둘째주, 넷째주 화요일 / 법정공휴일",111039,"자료실(월~금:09:00~18:00/ 토·일: 09:00~17:00), 열람실(월~일: 06:00~21:00)",55787
강남구립도곡정보문화도서관,서울특별시 강남구 도곡로18길 57,02-2176-0783,02-529-0377,37.4881818,127.038923,http://dogoklib.gangnam.go.kr/,"매월 첫째주, 셋째주 월요일 / 법정공휴일, 관장이 필요하다고 인정하는 날",111347,06:00-22:00,83860
강남구립못골도서관,서울특별시 강남구 자곡로 116,02-459-5522,-,37.471524,127.096698,http://mglib.gangnam.go.kr/,"매월 둘째주, 넷째주 화요일 / 법정공휴일",111479,-,24071
강남구립못골한옥어린이도서관,서울특별시 강남구 자곡로 7길 3,02-2226-5930,02-2226-5931,37.473163,127.099305,http://hchildlib.gangnam.go.kr/,"매월 첫째주, 셋째주 월요일 / 일요일을 제외한 법정공휴일",111474,-,10814
강남구립역삼도서관,서울특별시 강남구 역삼로7길 16,02-508-1139,02-508-1139,37.4952602,127.033191,http://yslib.gangnam.go.kr/,"매월 첫째주, 셋째주 월요일 / 일요일을 제외한 법정공휴일",111103,평일: 09시-22시 주말: 09시-17시 (열람실 06시-22시),32140
강남구립역삼푸른솔도서관,서울특별시 강남구 테헤란로8길 36,02-2051-1178,02-2051-1178,37.4964736,127.031856,http://ysplib.gangnam.go.kr/,"매월 둘째주, 넷째주 화요일 / 법정공휴일",111127,"자료실: 09시~18시(월~금) 09시~17시(토,일) / 열람실: 06시~22시",35822
강남구립정다운도서관,서울특별시 강남구 학동로67길 11,02-512-9326,-,37.5190642,127.046371,http://jdwlib.gangnam.go.kr/,"매월 둘째주, 넷째주 화요일 / 일요일을 제외한 법정공휴일",111073,평일: 09시-18시 주말: 09시-17시 (열람실 06시-22시),43089
강남구립즐거운도서관,서울특별시 강남구 도곡로77길 23,02-565-7533,02-563-7383,37.4997257,127.057818,http://jgwlib.gangnam.go.kr/,"매월 첫째주, 셋째주 월요일 / 일요일을 제외한 법정공휴일",111056,자료실09:00-18:00(평일)09:00-17:00(주말) / 열람실06:00-22:00,40875
강남구립청담도서관,서울특별시 강남구 압구정로79길 26,02-540-7042,02-540-7043,37.5250583,127.0493,http://cdlib.gangnam.go.kr/,"매월 첫째주, 셋째주 월요일 / 일요일을 제외한 법정공휴일",111069,"자료실: 09:00~18:00(월~금), 09:00~17:00(토,일) / 열람실:06:00~22:00",35025
강남구립행복한도서관,서울특별시 강남구 영동대로65길 24,02-567-3833,02-565-3834,37.5022554,127.06415,http://happylib.gangnam.go.kr/,"매월 둘째주, 넷째주 화요일 / 일요일을 제외한 법정공휴일",111075,"평일: 자료실(09:00~22:00), 열람실(06:00~22:00) / 토,일: 자료실(09:00~17:00), 열람실(06:00~22:00)",48900
강남도서관,서울특별시 강남구 선릉로116길 45,02-3448-4741,02-3443-4713,37.5137356,127.046991,http://gnlib.sen.go.kr/,"매월 첫째주, 셋째주 수요일 / 법정공휴일, 기타 사정으로 도서관장이 정하는 날",111003,자료실 평일09:00-18:00 (종합자료실 22:00) 주말09:00-17:00,223100
강동도서관,서울특별시 강동구 양재대로116길 57,02-2225-9800,02-471-8520,37.5385252,127.143756,http://gdlib.sen.go.kr/,"매월 첫째주, 셋째주 목요일 / 일요일을 제외한 법정공휴일, 기타 관장이 필요하다고 인정하는 날",111004,07:00-23:00,316344
강릉교육문화관,강원도 강릉시 노암등길 37-1,033-640-9911,033-640-9905,37.745942,128.9000051,http://lib.gwe.go.kr/kanglib/,"매주 월요일 / 법정공휴일, 임시 휴관일",142001,"종합자료실(화~금 : 09:00~22:00, 토~일요일 : 09:00~18:00), 열람실(08:00~23:00)",281222
강북문화정보도서관,서울특별시 강북구 오현로 145,02-944-3100,02-944-3139,37.6248352,127.0360823,https://www.gblib.or.kr/gangbuk/,"매월 둘째주, 넷째주 월요일 / 정부지정 공휴일, 특별한 사유로 관장이 필요하다고 인정한 경우",111037,07:00~23:00,230439
강북청소년문화정보도서관,서울특별시 강북구 삼양로54길 68,02-944-3140,02-944-3149,37.6230299,127.0215671,https://www.gblib.or.kr/youth/,"매월 둘째주, 넷째주 월요일 / 정부지정 공휴일, 특별한 사유로 관장이 필요하다고 인정한 경우",111038,0.291666666666667,45305
강서구립가양도서관,서울특별시 강서구 양천로61길 101,02-3665-8797,02-3665-0235,37.559397,126.8653386,http://lib.gangseo.seoul.kr/,"매주 월요일 / 일요일을 제외한 법정공휴일(단, 일요일과 법정공휴일이 겹칠 경우 휴관)",111453,"어린이자료실=화~금 9:00~18:00, 토~일 9:00~17:00 / 종합자료실, 학습열람실=화~토 9:00~22:00, 일 9:00~17:00",33007
강서구립곰달래도서관,서울특별시 강서구 강서로5길 50,02-2065-3785,02-2065-3799,37.5291122,126.8490778,http://lib.gangseo.seoul.kr/,"매주 월요일 / 일요일을 제외한 법정공휴일(단, 일요일과 법정공휴일이 겹칠 경우 휴관)",111378,09시,47913
강서구립길꽃어린이도서관,서울특별시 강서구 금낭화로24길 5,02-2663-4764,02-2663-4766,37.5786886,126.8138658,http://lib.gangseo.seoul.kr/,"매주 월요일 / 일요일을 제외한 법정공휴일(단, 일요일과 법정공휴일이 겹칠 경우 휴관)",111067,09:00~22:00,60501
강서구립꿈꾸는어린이도서관,서울특별시 강서구 공항대로 615,02-3663-4025,02-3663-4024,37.5473333,126.8731625,http://lib.gangseo.seoul.kr/,"매주 월요일 / 일요일을 제외한 법정공휴일(단, 일요일과 법정공휴일이 겹칠 경우 휴관)",111098,"9:00~18:00 , 9:00~22:00",62346
강서구립등빛도서관,서울특별시 강서구 강서로62길 48,02-3664-6990,02-3664-8045,37.5624339,126.8423536,http://lib.gangseo.seoul.kr/,"마지막주 월요일(단, 마지막주를 제외한 매주 월요일은 2, 3층 휴관, 4층 개방) / 법정공휴일",111309,"평일 자료실 (화~금) - 09:00 ~ 22:00, 평일 일반열람실(화~금) -08:00~22:00, 주말자료실-09:00~22:00, 주말일반열람실-08:00~22:00, 매주월요일(일반열람실)-09:00~18:00",66403
강서구립우장산숲속도서관,서울특별시 강서구 우현로 34,02-2696-6689,02-2696-6692,37.5484267,126.8418183,http://lib.gangseo.seoul.kr/,"매주 월요일 / 일요일을 제외한 법정공휴일(단, 일요일과 법정공휴일이 겹칠 경우 휴관)",111118,09:00 ~ 22:00,41537
강서구립푸른들청소년도서관,서울특별시 강서구 강서로45다길 71,02-2691-1630,02-2691-1632,37.544683,126.8351,http://lib.gangseo.seoul.kr/,"매주 월요일 / 일요일을 제외한 법정공휴일(단, 일요일과 법정공휴일이 겹칠 경우 휴관)",111097,평일 09:00 ~18:00(야간22:00) / 토 09:00 ~17:00(야간22:00) /일 09:00~17:00,63544
강서도서관,서울특별시 강서구 등촌로51나길 29,02-3219-7000,02-3219-7091,37.5478818,126.859926,http://gslib.sen.go.kr/,"매월 첫째주, 셋째주 금요일 / 일요일을 제외한 법정공휴일, 휴관이 필요하다고 관장이 지정하는 날",111005,07:00~23:00(하절기) 08:00~23:00(동절기) 07:00~22:00(하절기 주말) 08:00~22:00(동절기 주말),348433
강서영어도서관,서울특별시 강서구 곰달래로57가길 26,02-2061-2270,02-2061-2276,37.5349763,126.8604366,http://lib.gangseo.seoul.kr/,"매주 월요일 / 일요일을 제외한 법정공휴일(단, 일요일과 법정공휴일이 겹칠 경우 휴관)",111373,09:00~18:00,32503
개포4동작은도서관,서울특별시 강남구 개포로38길 12,02-3423-7884,-,37.4787976,127.051507,http://gp4lib.gangnam.go.kr/,"매주 토요일, 일요일 / 법정공휴일",11134706,-,9507
개포도서관,서울특별시 강남구 선릉로4길 30,02-3460-8200,02-3462-1970,37.4829604,127.063769,http://gplib.sen.go.kr/,"매월 둘째주, 넷째주 목요일 / 일요일을 제외한 법정공휴일, 기타 도서관 필요에 의해 정하는 날",111006,"하(동)절기: 07(08)～23시, 자료실 평일(문헌정보실:9시～22시, 어린이실/디지털실:9시～18시) / 주말(9시～17시)",390041
거마도서관,서울특별시 송파구 거마로2길 19,02-449-2332,02-449-5932,37.4935096,127.1468394,https://www.splib.or.kr/spglib/,"매월 둘째주, 넷째주 월요일 / 법정공휴일(일요일 제외), 기타 도서관 사정에 의해 관장이 정한 날",111049,평일 / 08:00~23:00 휴일 / 08:00~22:00,52933
거창군립한마음도서관,경상남도 거창군 거창읍 거열로6길 11,055-940-8470,055-940-8499,35.6891619,127.9037437,http://library.geochang.go.kr/,"매주 금요일 / 법정공휴일, 도서관 사유로 군수가 지정한 날, 기타 도서관 사정에 의한 휴관",148046,-,148348
경기평생교육학습관,경기도 수원시 권선구 권중로 55,031-259-1028,031-259-1079,37.2522357,127.0321226,http://www.gglec.go.kr/,"매주 월요일 / 관공서의 공휴일(단, 일요일은 개관하되 다른 공휴일과 겹치는 경우 휴관), 관장이 자료의 정리, 보수공사, 장서점검 및 기타의 사유로 휴관이 필요하다고 인정하는 날",141141,"평일 07:00~23:00, 토.일요일 07:00~22:00",755949
경산시립도서관,경상북도 경산시 하양읍 문화로10길 15,053-853-8659,053-853-8660,35.9132142,128.8129935,https://lib.gbgs.go.kr/,"매월 둘째주, 넷째주 월요일 / 국경일 및 정부에서 지정한 공휴일, 장서점검 등 필요한 사유 발생시 임시휴관",147001,08:00~22:00,146630
경산시립장산도서관,경상북도 경산시 경산로 13길 7,053-816-2240,-,35.8142997,128.7311778,https://lib.gbgs.go.kr/,"매주 월요일 / 국경일, 공휴일, 기타 장서점검 등 필요한 사유가 발생시 임시휴관",147165,09:00~19:00,114429
경상북도립상주도서관,경상북도 상주시 상서문1길 127,054-530-6300,054-536-0409,36.41214,128.158263,http://www.gbelib.kr/sj/,"매월 첫째주, 셋째주 월요일 / 일요일을 제외한 법정공휴일, 도서관 사정에 의해 관장이 지정한 날",147008,08:00~22:00,360526
