No,NAME,ADDR,경도,위도
1,경기도립중앙도서관,경기도 수원시 장안구 조원로 18,127.255292,37.410872
7,경기도립과천도서관,경기도 과천시 도서관길 36,126.996482,37.432229
8,경기도립성남도서관,경기도 성남시 수정구 공원로  370번길 26,127.15008,37.446756
9,경기도립발안도서관,경기도 화성시 향남읍 발안로 85-10,126.920297,37.133124
10,경기도립녹양도서관,경기도 의정부시 체육로 265-25,127.036003,37.76294
11,경기평생교육학습관,경기도 수원시 권선구 권중로 55,127.032203,37.252527
12,수원시선경도서관,수원시 팔달구 신풍로23번길 68(신풍동),127.010456,37.283969
13,수원시중앙도서관,수원시 팔달구 팔달산로 318(교동),127.012123,37.273552
14,수원시창룡도서관,수원시 팔달구 월드컵로381번길 36,127.027759,37.290829
15,버드내도서관,수원시 권선구 세권로 102번길 20(세류동),127.015149,37.257055
17,서수원도서관,경기도 수원시 권선구 탑동로57번길 35(탑동),126.97207,37.273251
19,북수원도서관,수원시 장안구 만석로 65 (정자동),126.988319,37.297688
20,대추골도서관,수원시 장안구 수일로 164 (조원동),127.008121,37.306604
21,일월도서관,수원시 장안구 일월천로 77 (천천동),126.976847,37.286495
23,영통도서관,수원시 영통구 청명로 151(영통동),127.072033,37.257222
24,태장마루도서관,수원시 영통구 태장로 46(망포동),127.050951,37.238669
25,슬기샘어린이도서관,경기도 수원시 장안구 송정로 9(송죽동),126.999094,37.297605
26,지혜샘어린이도서관 ,경기도 수원시 권선구 동탄원천로 818,127.040036,37.248
27,바른샘어린이도서관,경기도 수원시 매봉로 10(매탄동),127.052423,37.268803
28,한아름도서관,수원시 팔달구 권광로 293,127.03459,37.274248
29,사랑샘도서관,수원시 영통구 창룡대로 255,127.036118,37.295716
30,희망샘도서관,수원시 권선구 매송고색로 620,126.973681,37.248444
31,반달어린이도서관,결기도 수원시 영통구 영통동 반달로 45,127.077338,37.250582
32,화홍어린이도서관,수원시 팔달구 수원천로 361,127.017205,37.28583
44,고양시 풍동,경기도 고양시 일산동구 숲속마을로 108 (풍동),126.7982002,37.66755702
46,고양시립대화도서관,경기도 고양시 일산서구 일산로 689(대화동)  ,126.753891,37.680976
47,고양시립한뫼도서관,경기도 고양시 일산서구 탄중로 284(일산동),126.776471,37.692752
49,고양시립주엽어린이도서관,경기도 고양시 일산서구 주엽로 104(주엽동),126.756417,37.66831
51,중앙도서관,용인시 처인구 명지로 27(역북동),126.851357,37.465196
52,포곡도서관,용인시 처인구 포곡읍 포곡로 278번길 8,127.232546,37.278888
53,모현도서관,용인시 처인구 백옥대로 2378,126.935862,35.949509
54,보라도서관,경기도 용인시 기흥구 한보라2로 116,127.10909,37.248341
58,느티나무도서관,용인시 수지구 수풍로 116번길 22(동천동),129.155647,35.22988
60,수지도서관,용인시 수지구 문정로 7번길 23(풍덕천동 1088),127.094697,37.320298
61,구성도서관 ,용인시 기흥구 구성로 77번길 17(언남동),127.118472,37.296467
62,죽전도서관,용인시 수지구 죽전동 대지로 89,127.118722,37.330297
63,동백도서관,용인시 기흥구 동백3로 80 (중동 921),129.314574,35.434666
64,기흥도서관,용인시 기흥구 기흥로 116번길 10,127.113557,37.286136
65,흥덕도서관,용인시 기흥구 흥덕중앙로 153(영덕동),127.432423,36.634573
66,상현도서관, 용인시 수지구 법조로 232(상현동) ,127.074393,37.299856
67,구갈희망누리도서관,용인시 기흥구 갈곡로 12번길 1,127.129555,37.272748
68, 중앙도서관,경기도 성남시 분당구 판교로 546,126.851357,37.465196
69,중원어린이도서관,경기도 성남시 중원구 산성대로408번길 42 ,127.163135,37.447672
70,분당도서관,성남시 분당구 불정로 110(정자동),127.116583,37.358126
71,구미도서관,성남시 분당구 미금일로 105,128.42373,36.09903
72,무지개도서관,성남시 분당구 구미로 111(구미동 224번지),127.459702,36.319915
73,판교도서관,성남시 분당구 운중로225번길 37(판교동),127.090308,37.39204
74, 판교어린이도서관,성남시 분당구 판교역로 75,127.107972,37.387345
75, 운중도서관,성남시 분당구 판교원로81번길 9,127.075197,37.389985
76,수정도서관,경기도 성남시 수정구 수정로332번길 32,127.152886,37.452283
77,중원도서관,성남시 중원구 원터로17번길 46,127.908461,36.948817
79,부천시립상동도서관,경기도 부천시 상이로 12(상동),126.7447,37.490109
80,부천시립꿈빛도서관,부천시 신흥로 275번길 19(중동),126.773613,37.508303
82,부천시립심곡도서관,경기도 부천시 성무로 24(심곡본동),126.783953,37.480383
84,부천시립원미도서관,부천시 소사로 456번지(원미1동) ,126.798194,37.498998
85,부천시립북부도서관,부천시 원미구 삼작로 301번길 5(도당동),126.794639,37.520579
86,부천시립한울빛도서관,부천시 소사로 107 (소사본동) ,126.796528,37.467807
87,부천시립꿈여울도서관,부천시 까치울로 103(작동) ,126.805583,37.515468
88,부천예술정보도서관,부천시 장말로 107,126.75431,37.494943
90,해밀도서관,부천시 옥산로10번길 4(중동),126.78053,37.494526
93,중앙도서관,안산시 단원구 안산천남로 14 (고잔동),126.851357,37.465196
